[2.1, 0.26]:task over, the time is 15.000000, and the loss is :20.094975
[4.1, 0.42000000000000004]:task over, the time is 15.000000, and the loss is :50.665017
[4.1, 0.43]:task over, the time is 15.030000, and the loss is :49.936508
[4.1, 0.44]:task over, the time is 15.032000, and the loss is :68.806059
[4.2, 0.26]:task over, the time is 15.032000, and the loss is :31.829803
[4.2, 0.27]:task over, the time is 15.000000, and the loss is :34.203860
[4.2, 0.28]:task over, the time is 15.030000, and the loss is :31.545100
[4.2, 0.29]:task over, the time is 15.032000, and the loss is :29.879773
[4.2, 0.3]:task over, the time is 15.032000, and the loss is :44.550284
[4.2, 0.31]:task over, the time is 15.000000, and the loss is :39.704792
[4.2, 0.32]:task over, the time is 15.000000, and the loss is :22.840961
[4.2, 0.33]:task over, the time is 15.000000, and the loss is :33.045612
[4.2, 0.33999999999999997]:task over, the time is 15.030000, and the loss is :25.643020
[4.2, 0.35]:task over, the time is 15.000000, and the loss is :36.934785
[4.2, 0.36]:task over, the time is 15.000000, and the loss is :49.090859
[4.2, 0.37]:task over, the time is 15.000000, and the loss is :39.360379
[4.2, 0.38]:task over, the time is 15.002000, and the loss is :42.675903
[4.2, 0.39]:task over, the time is 15.032000, and the loss is :29.765272
[4.2, 0.4]:task over, the time is 15.032000, and the loss is :31.003164
[4.2, 0.41000000000000003]:task over, the time is 15.030000, and the loss is :50.751315
[4.2, 0.42000000000000004]:task over, the time is 15.000000, and the loss is :47.056418
[4.2, 0.43]:task over, the time is 15.032000, and the loss is :64.916372
[4.2, 0.44]:task over, the time is 15.032000, and the loss is :74.201874
[4.300000000000001, 0.26]:task over, the time is 15.000000, and the loss is :21.530987
[4.300000000000001, 0.27]:task over, the time is 15.000000, and the loss is :36.228328
[4.300000000000001, 0.28]:task over, the time is 15.000000, and the loss is :33.261912
[4.300000000000001, 0.29]:task over, the time is 15.030000, and the loss is :35.013742
[4.300000000000001, 0.3]:task over, the time is 15.002000, and the loss is :32.074702
[4.300000000000001, 0.31]:task over, the time is 15.032000, and the loss is :25.473021
[4.300000000000001, 0.32]:task over, the time is 15.032000, and the loss is :31.007066
[4.300000000000001, 0.33]:task over, the time is 15.000000, and the loss is :52.085875
[4.300000000000001, 0.33999999999999997]:task over, the time is 15.030000, and the loss is :44.369324
[4.300000000000001, 0.35]:task over, the time is 15.000000, and the loss is :35.355608
[4.300000000000001, 0.36]:task over, the time is 15.000000, and the loss is :34.447896
[4.300000000000001, 0.37]:task over, the time is 15.000000, and the loss is :29.500745
[4.300000000000001, 0.38]:task over, the time is 15.000000, and the loss is :67.142107
[4.300000000000001, 0.39]:task over, the time is 15.000000, and the loss is :72.625315
[4.300000000000001, 0.4]:task over, the time is 15.032000, and the loss is :31.594294
[4.300000000000001, 0.41000000000000003]:task over, the time is 15.000000, and the loss is :53.968375
[4.300000000000001, 0.42000000000000004]:task over, the time is 15.032000, and the loss is :51.558396
[4.300000000000001, 0.43]:task over, the time is 15.030000, and the loss is :72.033290
[4.300000000000001, 0.44]:task over, the time is 15.000000, and the loss is :75.936801
[4.4, 0.26]:task over, the time is 15.032000, and the loss is :24.291504
[4.4, 0.27]:task over, the time is 15.000000, and the loss is :35.861547
[4.4, 0.28]:task over, the time is 15.000000, and the loss is :25.386767
[4.4, 0.29]:task over, the time is 15.000000, and the loss is :35.767138
[4.4, 0.3]:task over, the time is 15.000000, and the loss is :45.325537
[4.4, 0.31]:task over, the time is 15.032000, and the loss is :33.318805
[4.4, 0.32]:task over, the time is 15.000000, and the loss is :49.765454
[4.4, 0.33]:task over, the time is 15.030000, and the loss is :31.266271
[4.4, 0.33999999999999997]:task over, the time is 15.000000, and the loss is :30.075541
[4.4, 0.35]:task over, the time is 15.032000, and the loss is :50.111345
[4.4, 0.36]:task over, the time is 15.000000, and the loss is :34.698736
[4.4, 0.37]:task over, the time is 15.000000, and the loss is :53.392361
[4.4, 0.38]:task over, the time is 15.000000, and the loss is :70.797145
[4.4, 0.39]:task over, the time is 15.000000, and the loss is :49.004018
[4.4, 0.4]:task over, the time is 15.032000, and the loss is :61.435765
[4.4, 0.41000000000000003]:task over, the time is 15.030000, and the loss is :41.071719
[4.4, 0.42000000000000004]:task over, the time is 15.032000, and the loss is :45.152660
[4.4, 0.43]:task over, the time is 15.000000, and the loss is :74.133666
[4.4, 0.44]:task over, the time is 15.000000, and the loss is :66.871528
[[2.3  0.   0.  ]
 [0.31 0.01 0.  ]]
